Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
IGSF6	SASH3	0.317	0.02	0.008	0.036	0.014	0.45	core
IGSF6	SCIMP	0.328	0.05	0.149	0.003	0.003	0.471	core
IGSF6	SYK	0.399	0.001	0.022	0.013	0.003	0.508	core
IGSF6	TLR1	0.314	0.002	0.019	0.092	0.048	0.46	core
IGSF6	TLR4	0.309	0.048	0.065	0.113	0.003	0.495	core
IGSF6	TLR7	0.332	0.047	0.012	0.001	0.026	0.498	core
IGSF6	VAV1	0.339	0.005	0.054	0.226	0.043	0.467	core
IGSF8	NCL	0.394	0.116	0.056	0.016	0.479	0.097	core
IGSF8	TNF	0.379	0.04	0.039	0.01	0.179	0.47	core
IK	ILF2	0.333	0.393	0.025	0.138	0.345	0.267	core
IK	INS	0.348	0.041	0.057	0.075	0.035	0.473	core
IK	ISY1	0.362	0.348	0.078	0.009	0.362	0.355	core
IK	KAT5	0.301	0.178	0.015	0.008	0.276	0.52	core
IK	KDM1A	0.333	0.291	0.178	0.115	0.325	0.422	core
IK	KHDRBS1	0.399	0.469	0.034	0.007	0.405	0.303	core
IK	LMNB1	0.362	0.386	0.017	0.003	0.433	0.28	core
IK	LSM4	0.322	0.295	0.031	0.016	0.411	0.169	core
IK	MED20	0.339	0.381	0.053	0.147	0.345	0.225	core
IK	MFAP1	0.553	0.447	0.048	0.011	0.48	0.303	core
IK	MSH6	0.311	0.315	0.062	0.013	0.393	0.279	core
IK	NCBP1	0.373	0.365	0.021	0.084	0.407	0.263	core
IK	NOL7	0.323	0.44	0.056	0.101	0.133	0.227	core
IK	NONO	0.395	0.438	0.003	0.009	0.315	0.391	core
IK	NPM1	0.305	0.393	0.013	0.004	0.331	0.309	core
IK	NUDT21	0.308	0.369	0.107	0.083	0.359	0.314	core
IK	NUP133	0.311	0.368	0.035	0.01	0.206	0.395	core
IK	NUP205	0.313	0.433	0.094	0.189	0.194	0.296	core
IK	NUP214	0.376	0.457	0.031	0.071	0.214	0.355	core
IK	PAF1	0.331	0.181	0.19	0.159	0.313	0.443	core
IK	PDS5A	0.347	0.39	0.057	0.122	0.345	0.222	core
IK	PLRG1	0.327	0.359	0.016	0.071	0.378	0.36	core
IK	PNN	0.387	0.425	0.061	0.081	0.392	0.184	core
IK	POLR2A	0.385	0.429	0.234	0.149	0.269	0.216	core
IK	POLR2B	0.321	0.4	0.137	0.174	0.254	0.34	core
IK	POLR2C	0.306	0.341	0.345	0.013	0.265	0.37	core
IK	POLR3C	0.302	0.319	0.072	0.117	0.284	0.426	core
IK	PPIH	0.36	0.503	0.033	0.016	0.197	0.29	core
IK	PQBP1	0.461	0.346	0.004	0.1	0.44	0.262	core
IK	PRKDC	0.345	0.441	0.012	0.124	0.251	0.263	core
IK	PRPF3	0.437	0.426	0.051	0.112	0.429	0.182	core
IK	PRPF4	0.323	0.375	0.034	0.011	0.407	0.269	core
IK	PRPF6	0.645	0.444	0.097	0.196	0.525	0.525	core
IK	PRPF8	0.543	0.541	0.326	0.009	0.426	0.379	core
IK	PRPF19	0.306	0.378	0.123	0.001	0.389	0.27	core
IK	PRPF31	0.356	0.415	0.266	0.011	0.436	0.285	core
IK	PRPF40A	0.476	0.444	0.096	0.01	0.434	0.316	core
IK	PSIP1	0.469	0.426	0.125	0.005	0.438	0.244	core
IK	PSMA8	0.307	0.082	0.143	0.008	0.155	0.43	core
IK	PSMD4	0.312	0.092	0.09	0.002	0.341	0.422	core
IK	PSMF1	0.323	0.139	0.1	0.076	0.326	0.457	core
IK	RBBP4	0.329	0.394	0.002	0.121	0.301	0.357	core
IK	RBM8A	0.326	0.405	0.059	0.13	0.342	0.342	core
IK	RBM10	0.566	0.398	0.011	0.01	0.502	0.255	core
IK	RBM22	0.306	0.436	0.001	0.0	0.178	0.323	core
IK	RBM25	0.309	0.285	0.264	0.006	0.426	0.197	core
IK	RBM39	0.439	0.344	0.296	0.008	0.438	0.16	core
IK	RBMX	0.367	0.447	0.004	0.007	0.286	0.24	core
IK	RBPMS	0.365	0.119	0.08	0.442	0.24	0.111	core
IK	RNF113A	0.384	0.196	0.008	0.036	0.469	0.181	core
IK	RPA1	0.326	0.381	0.264	0.003	0.341	0.369	core
IK	RPA2	0.319	0.41	0.096	0.125	0.342	0.294	core
IK	RSRC1	0.346	0.344	0.106	0.071	0.39	0.266	core
IK	SAFB	0.3	0.42	0.046	0.112	0.224	0.272	core
IK	SAP18	0.314	0.405	0.088	0.006	0.311	0.31	core
IK	SAP30BP	0.302	0.288	0.425	0.097	0.261	0.228	core
IK	SART1	0.493	0.467	0.032	0.014	0.446	0.405	core
IK	SART3	0.317	0.321	0.053	0.016	0.37	0.358	core
IK	SCAF8	0.376	0.428	0.125	0.004	0.323	0.259	core
IK	SF3A1	0.4	0.382	0.304	0.007	0.398	0.529	core
IK	SF3A2	0.375	0.406	0.087	0.132	0.434	0.287	core
IK	SF3A3	0.358	0.415	0.337	0.089	0.406	0.37	core
IK	SF3B1	0.369	0.347	0.271	0.001	0.417	0.207	core
IK	SF3B2	0.422	0.42	0.081	0.139	0.422	0.422	core
IK	SF3B3	0.302	0.416	0.177	0.109	0.197	0.345	core
IK	SF3B4	0.349	0.285	0.04	0.001	0.435	0.221	core
IK	SF3B5	0.316	0.338	0.194	0.176	0.4	0.186	core
IK	SFPQ	0.309	0.409	0.333	0.105	0.263	0.187	core
IK	SKIV2L2	0.353	0.485	0.051	0.013	0.215	0.334	core
IK	SLC4A1AP	0.315	0.153	0.176	0.073	0.393	0.53	core
IK	SMARCA2	0.327	0.432	0.022	0.014	0.203	0.215	core
IK	SMARCE1	0.34	0.315	0.059	0.01	0.246	0.469	core
IK	SMC3	0.329	0.418	0.039	0.096	0.205	0.379	core
IK	SMU1	0.865	0.615	0.205	0.442	0.663	0.411	core
IK	SNIP1	0.557	0.224	0.315	0.286	0.496	0.265	core
IK	SNRNP40	0.484	0.406	0.058	0.129	0.45	0.313	core
IK	SNRNP200	0.473	0.58	0.354	0.015	0.405	0.478	core
IK	SNRPA	0.52	0.47	0.003	0.078	0.436	0.246	core
IK	SNRPA1	0.418	0.457	0.025	0.008	0.423	0.193	core
IK	SNRPB	0.368	0.317	0.308	0.147	0.431	0.258	core
IK	SNRPB2	0.499	0.447	0.043	0.106	0.436	0.282	core
IK	SNRPC	0.499	0.402	0.039	0.148	0.451	0.292	core
IK	SNRPD1	0.393	0.435	0.188	0.144	0.422	0.212	core
IK	SNRPD2	0.535	0.344	0.016	0.15	0.516	0.281	core
IK	SNRPE	0.496	0.168	0.201	0.011	0.481	0.307	core
IK	SNRPF	0.403	0.368	0.303	0.084	0.437	0.251	core
IK	SNRPG	0.31	0.231	0.206	0.105	0.436	0.262	core
IK	SNW1	0.513	0.459	0.165	0.001	0.433	0.59	core
IK	SRRM1	0.352	0.301	0.014	0.131	0.44	0.211	core
IK	SRRT	0.402	0.405	0.069	0.156	0.429	0.182	core
IK	SRSF1	0.327	0.408	0.014	0.009	0.338	0.278	core
IK	SRSF2	0.381	0.425	0.063	0.001	0.379	0.166	core
IK	SRSF3	0.302	0.363	0.269	0.147	0.359	0.266	core
IK	SRSF4	0.415	0.469	0.029	0.013	0.356	0.201	core
IK	SRSF9	0.346	0.378	0.041	0.016	0.358	0.259	core
IK	SRSF11	0.337	0.369	0.038	0.167	0.417	0.144	core
IK	SSB	0.301	0.328	0.293	0.194	0.345	0.337	core
IK	SSRP1	0.301	0.367	0.052	0.004	0.366	0.318	core
IK	SUPT16H	0.366	0.393	0.027	0.014	0.257	0.409	core
IK	SYF2	0.303	0.381	0.2	0.002	0.357	0.292	core
IK	SYNCRIP	0.301	0.377	0.045	0.013	0.307	0.269	core
IK	TCERG1	0.569	0.565	0.188	0.103	0.438	0.285	core
IK	TERF2	0.301	0.344	0.082	0.197	0.23	0.35	core
IK	TERT	0.331	0.006	0.106	0.015	0.093	0.406	core
IK	TGS1	0.342	0.169	0.108	0.006	0.443	0.242	core
IK	THRAP3	0.375	0.481	0.044	0.171	0.235	0.292	core
IK	TMSB4X	0.329	0.066	0.005	0.133	0.191	0.21	core
IK	TNF	0.341	0.005	0.05	0.165	0.175	0.504	core
IK	TOX4	0.335	0.241	0.042	0.113	0.203	0.508	core
IK	TPR	0.455	0.483	0.178	0.008	0.371	0.416	core
IK	TRA2B	0.308	0.372	0.138	0.133	0.37	0.253	core
IK	TRIP12	0.33	0.125	0.034	0.144	0.242	0.435	core
IK	TXNL4A	0.447	0.325	0.261	0.002	0.454	0.178	core
IK	U2AF2	0.389	0.457	0.198	0.087	0.387	0.29	core
IK	U2SURP	0.311	0.309	0.026	0.094	0.417	0.231	core
IK	USP39	0.382	0.354	0.017	0.144	0.377	0.406	core
IK	WBP11	0.356	0.406	0.037	0.248	0.34	0.44	core
IK	WDR5	0.317	0.412	0.0	0.113	0.292	0.228	core
IK	WTAP	0.403	0.467	0.026	0.167	0.332	0.198	core
IK	XAB2	0.534	0.327	0.099	0.0	0.525	0.283	core
IK	XRCC5	0.3	0.315	0.002	0.134	0.238	0.385	core
IK	XRCC6	0.368	0.378	0.02	0.007	0.197	0.539	core
IK	YLPM1	0.303	0.16	0.079	0.001	0.26	0.469	core
IK	ZC3H18	0.302	0.413	0.031	0.225	0.156	0.406	core
IK	ZMAT2	0.45	0.52	0.023	0.036	0.17	0.382	core
IK	ZNF207	0.308	0.44	0.085	0.137	0.245	0.273	core
IKBIP	P4HA2	0.336	0.531	0.05	0.009	0.053	0.276	core
IKBIP	PLOD1	0.334	0.528	0.022	0.0	0.048	0.295	core
IKBKAP	ITGA1	0.402	0.112	0.069	0.343	0.135	0.089	core
IKBKAP	ITGA5	0.371	0.083	0.075	0.343	0.142	0.078	core
IKBKAP	ITGB2	0.378	0.076	0.148	0.343	0.074	0.192	core
IKBKAP	MAPK8	0.392	0.086	0.014	0.008	0.5	0.174	core
IKBKAP	POLR2B	0.331	0.073	0.032	0.48	0.146	0.234	core
IKBKAP	PTPRC	0.354	0.069	0.152	0.343	0.079	0.068	core
IKBKAP	SPN	0.394	0.055	0.037	0.343	0.115	0.148	core
IKBKAP	SUPT5H	0.315	0.073	0.135	0.485	0.143	0.188	core
IKBKAP	TAF9	0.306	0.085	0.059	0.521	0.13	0.211	core
IKBKAP	TERT	0.309	0.055	0.209	0.087	0.077	0.467	core
IKBKAP	TNF	0.342	0.004	0.05	0.001	0.158	0.457	core
IKBKAP	URM1	0.325	0.222	0.476	0.011	0.081	0.2	core
IKBKB	IKBKE	0.406	0.146	0.061	0.01	0.447	0.216	core
IKBKB	IKBKG	0.833	0.555	0.011	0.342	0.62	0.144	core
IKBKB	IRAK1	0.375	0.209	0.003	0.094	0.454	0.126	core
IKBKB	KEAP1	0.451	0.13	0.002	0.003	0.483	0.187	core
IKBKB	KLHL21	0.45	0.046	0.243	0.016	0.491	0.129	core
IKBKB	MAP3K1	0.368	0.083	0.218	0.011	0.455	0.147	core
IKBKB	MAP3K7	0.443	0.106	0.146	0.005	0.47	0.264	core
IKBKB	MAP3K14	0.44	0.04	0.004	0.014	0.489	0.1	core
IKBKB	MTOR	0.432	0.126	0.056	0.006	0.483	0.15	core
IKBKB	MUC1	0.338	0.154	0.197	0.092	0.465	0.098	core
IKBKB	NAA20	0.478	0.095	0.048	0.15	0.5	0.138	core
IKBKB	NCOA3	0.423	0.119	0.088	0.1	0.471	0.248	core
IKBKB	NFKB1	0.477	0.266	0.052	0.0	0.489	0.195	core
IKBKB	NFKBIA	0.424	0.195	0.002	0.2	0.486	0.138	core
IKBKB	NFKBIB	0.578	0.083	0.033	0.342	0.467	0.167	core
IKBKB	PPM1B	0.456	0.122	0.045	0.387	0.464	0.13	core
IKBKB	PPP1CA	0.437	0.125	0.057	0.093	0.485	0.226	core
IKBKB	PRKCA	0.418	0.15	0.242	0.074	0.476	0.14	core
IKBKB	PRKCD	0.429	0.097	0.016	0.007	0.466	0.182	core
IKBKB	PRKCE	0.372	0.134	0.123	0.149	0.446	0.171	core
IKBKB	PRKCI	0.422	0.102	0.103	0.01	0.481	0.14	core
IKBKB	PRKCQ	0.438	0.078	0.106	0.071	0.452	0.312	core
IKBKB	PSMC6	0.492	0.227	0.097	0.343	0.191	0.205	core
IKBKB	RELA	0.574	0.193	0.373	0.005	0.491	0.175	core
IKBKB	RICTOR	0.424	0.107	0.051	0.003	0.488	0.152	core
IKBKB	RIPK1	0.317	0.221	0.17	0.001	0.44	0.162	core
IKBKB	RPTOR	0.417	0.122	0.037	0.0	0.481	0.166	core
IKBKB	SRC	0.43	0.089	0.096	0.01	0.5	0.142	core
IKBKB	TERT	0.321	0.06	0.03	0.014	0.097	0.389	core
IKBKB	TNF	0.495	0.008	0.027	0.072	0.456	0.472	core
IKBKB	TNFAIP3	0.416	0.137	0.052	0.152	0.463	0.166	core
IKBKB	TNFRSF1A	0.395	0.131	0.026	0.094	0.474	0.136	core
IKBKB	TRAF1	0.415	0.059	0.051	0.225	0.491	0.168	core
IKBKB	TRAF2	0.428	0.113	0.002	0.083	0.488	0.168	core
IKBKB	TRAF3IP2	0.391	0.093	0.1	0.169	0.474	0.138	core
IKBKB	TRIM21	0.444	0.183	0.164	0.004	0.488	0.179	core
IKBKB	TRIM27	0.494	0.123	0.076	0.076	0.482	0.195	core
IKBKB	TSC1	0.423	0.168	0.047	0.073	0.471	0.2	core
IKBKE	IKBKG	0.383	0.18	0.004	0.005	0.446	0.188	core
IKBKE	IRF3	0.401	0.132	0.039	0.075	0.446	0.199	core
IKBKE	MAVS	0.393	0.117	0.024	0.009	0.449	0.173	core
IKBKE	SASH3	0.307	0.207	0.008	0.036	0.014	0.395	core
IKBKE	TANK	0.398	0.242	0.109	0.102	0.453	0.225	core
IKBKE	TBK1	0.376	0.287	0.029	0.004	0.446	0.139	core
IKBKE	TBKBP1	0.414	0.02	0.164	0.036	0.446	0.109	core
IKBKE	TNF	0.316	0.003	0.142	0.004	0.077	0.553	core
IKBKE	TNFAIP3	0.408	0.213	0.02	0.139	0.45	0.337	core
IKBKE	TRAF2	0.384	0.11	0.071	0.006	0.45	0.192	core
IKBKE	TRAF3	0.395	0.088	0.088	0.012	0.447	0.217	core
IKBKE	TRAF3IP2	0.397	0.098	0.075	0.014	0.456	0.151	core
IKBKE	TRIM27	0.373	0.103	0.096	0.081	0.448	0.135	core
IKBKE	UBC	0.353	0.053	0.03	0.078	0.454	0.073	core
IKBKG	IRAK1	0.386	0.183	0.012	0.004	0.446	0.359	core
IKBKG	KRT8	0.327	0.071	0.012	0.009	0.462	0.082	core
IKBKG	KRT18	0.385	0.068	0.012	0.012	0.498	0.083	core
IKBKG	MACROD1	0.322	0.101	0.004	0.11	0.453	0.074	core
IKBKG	MALT1	0.375	0.091	0.004	0.084	0.453	0.182	core
IKBKG	MAP3K7	0.434	0.087	0.011	0.104	0.488	0.189	core
IKBKG	MAP3K14	0.513	0.004	0.012	0.011	0.493	0.237	core
IKBKG	MAVS	0.423	0.129	0.004	0.088	0.457	0.189	core
IKBKG	MTOR	0.492	0.129	0.003	0.085	0.514	0.179	core
IKBKG	NCOA3	0.403	0.102	0.011	0.09	0.474	0.14	core
IKBKG	NFKB1	0.49	0.298	0.004	0.134	0.492	0.202	core
IKBKG	NFKBIA	0.484	0.15	0.003	0.01	0.511	0.132	core
IKBKG	NFKBIB	0.431	0.159	0.003	0.007	0.498	0.152	core
IKBKG	NR1H4	0.398	0.001	0.011	0.011	0.167	0.442	core
IKBKG	NSFL1C	0.383	0.139	0.011	0.083	0.482	0.149	core
IKBKG	PARK2	0.335	0.048	0.003	0.083	0.466	0.044	core
IKBKG	PARP1	0.377	0.106	0.012	0.005	0.489	0.12	core
IKBKG	PARP10	0.452	0.19	0.005	0.23	0.476	0.177	core
IKBKG	PIAS4	0.381	0.097	0.012	0.097	0.485	0.111	core
IKBKG	PPP4C	0.44	0.096	0.003	0.014	0.487	0.205	core
IKBKG	PSMA8	0.336	0.076	0.004	0.009	0.142	0.443	core
IKBKG	RBCK1	0.426	0.163	0.011	0.01	0.476	0.184	core
IKBKG	RIPK1	0.441	0.318	0.011	0.004	0.469	0.208	core
IKBKG	RIPK2	0.31	0.162	0.003	0.006	0.446	0.125	core
IKBKG	RNF7	0.341	0.146	0.004	0.09	0.463	0.1	core
IKBKG	RNF31	0.484	0.171	0.005	0.074	0.504	0.137	core
IKBKG	RPAP3	0.393	0.103	0.004	0.009	0.492	0.135	core
IKBKG	SENP2	0.378	0.119	0.012	0.112	0.47	0.113	core
IKBKG	SHARPIN	0.39	0.136	0.004	0.182	0.477	0.188	core
IKBKG	SQSTM1	0.495	0.231	0.011	0.081	0.483	0.239	core
IKBKG	SRC	0.378	0.088	0.011	0.092	0.508	0.093	core
IKBKG	TAB2	0.381	0.113	0.013	0.098	0.468	0.103	core
IKBKG	TAB3	0.463	0.111	0.012	0.074	0.517	0.159	core
IKBKG	TANK	0.515	0.19	0.012	0.134	0.519	0.148	core
IKBKG	TBK1	0.466	0.299	0.005	0.012	0.519	0.183	core
IKBKG	TNF	0.57	0.048	0.012	0.098	0.488	0.49	core
IKBKG	TNFAIP3	0.426	0.209	0.004	0.002	0.511	0.121	core
IKBKG	TNFRSF1A	0.471	0.246	0.012	0.007	0.477	0.207	core
IKBKG	TNIP1	0.498	0.292	0.011	0.004	0.497	0.209	core
IKBKG	TNIP2	0.371	0.085	0.011	0.278	0.459	0.206	core
IKBKG	TRAF1	0.457	0.063	0.011	0.008	0.509	0.175	core
IKBKG	TRAF2	0.354	0.097	0.012	0.0	0.512	0.158	core
IKBKG	TRAF3IP2	0.412	0.086	0.004	0.088	0.481	0.133	core
IKBKG	TRAF6	0.506	0.106	0.011	0.075	0.529	0.169	core
IKBKG	TRIM14	0.447	0.091	0.005	0.096	0.494	0.151	core
IKBKG	TRIM29	0.309	0.146	0.004	0.0	0.475	0.039	core
IKBKG	UBC	0.478	0.046	0.005	0.015	0.502	0.14	core
IKBKG	USP7	0.458	0.123	0.003	0.137	0.484	0.194	core
IKBKG	USP10	0.395	0.122	0.004	0.011	0.465	0.214	core
IKBKG	USP17L2	0.314	0.046	0.012	0.098	0.07	0.395	core
IKBKG	ZC3H12A	0.388	0.286	0.012	0.087	0.454	0.145	core
IKZF1	IKZF2	0.552	0.412	0.089	0.036	0.502	0.173	core
IKZF1	IKZF3	0.668	0.487	0.037	0.01	0.498	0.392	core
IKZF1	IKZF4	0.53	0.416	0.02	0.006	0.5	0.125	core
IKZF1	IKZF5	0.4	0.005	0.034	0.015	0.478	0.153	core
IKZF1	IL2	0.376	0.005	0.151	0.0	0.052	0.512	core
IKZF1	IL4	0.312	0.004	0.038	0.008	0.026	0.441	core
IKZF1	IL12B	0.506	0.043	0.062	0.001	0.026	0.547	core
IKZF1	INPP5D	0.304	0.297	0.012	0.117	0.094	0.378	core
IKZF1	ITGB2	0.328	0.296	0.116	0.101	0.1	0.456	core
IKZF1	ITK	0.311	0.071	0.076	0.01	0.11	0.47	core
IKZF1	KLRK1	0.303	0.041	0.001	0.013	0.025	0.461	core
IKZF1	LCK	0.332	0.306	0.038	0.094	0.101	0.453	core
IKZF1	LCP1	0.453	0.399	0.069	0.104	0.047	0.468	core
IKZF1	LCP2	0.384	0.358	0.027	0.207	0.102	0.476	core
IKZF1	MNDA	0.314	0.332	0.033	0.001	0.002	0.399	core
IKZF1	MYO1F	0.365	0.363	0.038	0.036	0.05	0.402	core
IKZF1	NCKAP1L	0.326	0.392	0.039	0.09	0.046	0.477	core
IKZF1	NFATC1	0.484	0.119	0.027	0.015	0.487	0.294	core
IKZF1	NFATC2	0.41	0.12	0.027	0.082	0.445	0.333	core
IKZF1	PIK3CD	0.375	0.258	0.225	0.072	0.145	0.499	core
IKZF1	PLEKHA1	0.306	0.079	0.022	0.016	0.116	0.438	core
IKZF1	PTPN6	0.352	0.311	0.023	0.11	0.115	0.44	core
IKZF1	PTPRC	0.344	0.317	0.018	0.202	0.098	0.482	core
IKZF1	RAC2	0.3	0.287	0.047	0.279	0.107	0.433	core
IKZF1	RAP2B	0.311	0.255	0.074	0.006	0.107	0.411	core
IKZF1	RBBP4	0.406	0.089	0.003	0.001	0.513	0.212	core
IKZF1	SASH3	0.411	0.371	0.008	0.036	0.014	0.425	core
IKZF1	SH2D1A	0.303	0.226	0.005	0.009	0.099	0.436	core
IKZF1	SIN3A	0.412	0.099	0.023	0.194	0.498	0.161	core
IKZF1	SIN3B	0.342	0.095	0.07	0.003	0.468	0.073	core
IKZF1	SPI1	0.325	0.315	0.013	0.196	0.079	0.39	core
IKZF1	SYK	0.359	0.296	0.084	0.0	0.103	0.509	core
IKZF1	TIGIT	0.375	0.04	0.101	0.075	0.001	0.447	core
IKZF1	TLR7	0.302	0.112	0.012	0.009	0.004	0.466	core
IKZF1	TRAT1	0.316	0.04	0.045	0.006	0.029	0.444	core
IKZF1	VAV1	0.303	0.343	0.053	0.0	0.126	0.463	core
IKZF1	WIPF1	0.326	0.242	0.013	0.104	0.116	0.424	core
IKZF2	IKZF3	0.333	0.49	0.02	0.036	0.186	0.175	core
IKZF2	IKZF4	0.409	0.562	0.002	0.036	0.39	0.218	core
IKZF2	NFATC1	0.31	0.093	0.051	0.036	0.467	0.167	core
IKZF2	NFATC2	0.332	0.071	0.019	0.036	0.446	0.134	core
IKZF2	PSMA8	0.333	0.07	0.027	0.036	0.104	0.434	core
IKZF2	TERT	0.306	0.067	0.001	0.036	0.072	0.369	core
IKZF3	IKZF4	0.623	0.494	0.077	0.158	0.525	0.165	core
IKZF3	IKZF5	0.335	0.005	0.025	0.009	0.515	0.077	core
IKZF3	IL2	0.389	0.04	0.049	0.013	0.043	0.501	core
IKZF3	IL7R	0.315	0.063	0.113	0.005	0.075	0.468	core
IKZF3	IL12B	0.3	0.007	0.014	0.083	0.025	0.48	core
IKZF3	ITK	0.308	0.067	0.045	0.011	0.106	0.456	core
IKZF3	LCK	0.338	0.247	0.04	0.008	0.076	0.428	core
IKZF3	P2RY10	0.362	0.002	0.011	0.015	0.001	0.58	core
IKZF3	PRDM1	0.404	0.131	0.067	0.0	0.462	0.255	core
IKZF3	SIRPG	0.349	0.074	0.049	0.001	0.058	0.485	core
IKZF4	IKZF5	0.526	0.004	0.003	0.014	0.525	0.18	core
IKZF4	TERT	0.301	0.066	0.083	0.003	0.08	0.369	core
IKZF4	TNF	0.382	0.002	0.029	0.131	0.182	0.476	core
IKZF5	MIB2	0.342	0.079	0.111	0.08	0.444	0.109	core
IKZF5	SET	0.452	0.076	0.0	0.001	0.475	0.239	core
IKZF5	SNCA	0.348	0.074	0.05	0.091	0.259	0.43	core
IKZF5	TERT	0.305	0.002	0.163	0.012	0.08	0.417	core
IKZF5	TNF	0.344	0.001	0.014	0.082	0.178	0.459	core
IKZF5	YEATS2	0.413	0.08	0.054	0.008	0.449	0.205	core
IKZF5	YY1	0.358	0.075	0.051	0.473	0.321	0.314	core
IL1A	KIF11	0.314	0.08	0.206	0.008	0.092	0.427	core
IL1A	LTA	0.504	0.003	0.034	0.342	0.092	0.124	core
IL1A	MELK	0.32	0.09	0.079	0.014	0.079	0.431	core
IL1A	NCAPG	0.306	0.085	0.066	0.01	0.069	0.447	core
IL1A	NUF2	0.318	0.102	0.018	0.138	0.089	0.435	core
IL1A	PBK	0.331	0.079	0.047	0.001	0.07	0.422	core
IL1A	TOP2A	0.301	0.076	0.022	0.006	0.098	0.423	core
IL1R1	IL1RAP	0.55	0.072	0.439	0.216	0.508	0.141	core
IL1R1	MYD88	0.532	0.066	0.338	0.38	0.472	0.235	core
IL1R1	PSMA8	0.34	0.07	0.075	0.013	0.105	0.448	core
IL1R1	TOLLIP	0.353	0.071	0.0	0.082	0.451	0.074	core
IL1R1	TRAF6	0.372	0.07	0.332	0.003	0.456	0.114	core
IL1RAP	PIK3CA	0.626	0.188	0.017	0.006	0.178	0.185	core
IL1RAP	PSMA8	0.306	0.086	0.04	0.005	0.107	0.421	core
IL1RAP	TOLLIP	0.303	0.214	0.069	0.075	0.45	0.105	core
IL1RL2	IL36RN	0.307	0.001	0.026	0.342	0.051	0.176	core
IL2	IL2RB	0.382	0.038	0.048	0.343	0.005	0.386	core
IL2	IL2RG	0.447	0.043	0.011	0.343	0.053	0.515	core
IL2	IL3RA	0.334	0.047	0.004	0.099	0.002	0.46	core
IL2	IL4	0.327	0.004	0.002	0.343	0.003	0.18	core
IL2	IL6	0.357	0.039	0.057	0.343	0.003	0.252	core
IL2	IL7	0.372	0.038	0.044	0.343	0.003	0.248	core
IL2	IL7R	0.476	0.042	0.196	0.001	0.031	0.524	core
IL2	IL9R	0.357	0.054	0.012	0.107	0.042	0.477	core
IL2	IL10RA	0.393	0.037	0.015	0.133	0.003	0.516	core
IL2	IL12B	0.303	0.003	0.051	0.072	0.025	0.432	core
IL2	IL12RB1	0.34	0.044	0.002	0.002	0.054	0.465	core
IL2	IL13	0.334	0.004	0.002	0.343	0.002	0.193	core
IL2	IL15	0.301	0.005	0.05	0.343	0.027	0.355	core
IL2	IL16	0.389	0.006	0.095	0.004	0.04	0.536	core
IL2	IL18	0.398	0.044	0.089	0.343	0.045	0.394	core
IL2	IL18R1	0.31	0.005	0.066	0.151	0.026	0.414	core
IL2	IL18RAP	0.328	0.048	0.075	0.083	0.041	0.506	core
IL2	IL21R	0.331	0.02	0.016	0.036	0.014	0.452	core
IL2	ILF3	0.338	0.04	0.003	0.343	0.053	0.204	core
IL2	INPP5D	0.405	0.037	0.011	0.012	0.025	0.499	core
IL2	IRF1	0.326	0.045	0.075	0.004	0.025	0.461	core
IL2	IRF2	0.305	0.002	0.127	0.093	0.056	0.408	core
IL2	IRF4	0.336	0.006	0.097	0.134	0.001	0.432	core
IL2	IRF8	0.337	0.054	0.018	0.002	0.03	0.474	core
IL2	ITGA4	0.33	0.04	0.116	0.005	0.057	0.466	core
IL2	ITGAL	0.449	0.047	0.047	0.343	0.03	0.536	core
IL2	ITGAX	0.324	0.05	0.018	0.143	0.005	0.474	core
IL2	ITGB2	0.423	0.043	0.104	0.343	0.027	0.465	core
IL2	ITGB7	0.32	0.006	0.015	0.117	0.032	0.472	core
IL2	ITK	0.422	0.047	0.086	0.077	0.044	0.548	core
IL2	JAK1	0.306	0.052	0.046	0.343	0.047	0.228	core
IL2	JAK3	0.442	0.046	0.035	0.343	0.041	0.53	core
IL2	KBTBD8	0.308	0.002	0.017	0.003	0.056	0.442	core
IL2	KCNA3	0.417	0.006	0.025	0.082	0.045	0.499	core
IL2	KCNAB2	0.308	0.003	0.061	0.002	0.056	0.441	core
IL2	KIF21B	0.404	0.02	0.034	0.036	0.061	0.465	core
IL2	KLHL6	0.384	0.02	0.053	0.036	0.041	0.512	core
IL2	KLRB1	0.425	0.039	0.144	0.011	0.001	0.536	core
IL2	KLRC4	0.333	0.005	0.016	0.095	0.028	0.455	core
IL2	KLRD1	0.371	0.039	0.041	0.078	0.0	0.467	core
IL2	KLRG1	0.316	0.006	0.065	0.088	0.003	0.475	core
IL2	KLRK1	0.424	0.005	0.204	0.008	0.002	0.512	core
IL2	LAIR1	0.342	0.041	0.056	0.008	0.029	0.478	core
IL2	LAPTM5	0.323	0.038	0.054	0.015	0.001	0.499	core
IL2	LAT	0.325	0.003	0.039	0.007	0.004	0.465	core
IL2	LAT2	0.318	0.005	0.041	0.008	0.026	0.491	core
IL2	LAX1	0.332	0.042	0.017	0.117	0.005	0.46	core
IL2	LCK	0.418	0.004	0.017	0.003	0.03	0.516	core
IL2	LCP1	0.306	0.002	0.018	0.014	0.049	0.442	core
IL2	LCP2	0.309	0.048	0.034	0.154	0.002	0.484	core
IL2	LILRA4	0.32	0.02	0.091	0.036	0.014	0.445	core
